ID,Title,Category,Link,Preview Icon,Pages,PDF Link,Description,Keywords,Accession Number,Publisher,ISBN,Condition,Author,Language,Year,Script,Custodian,Digitization Sponsor
1935,Sri Guru Granth Sahib Ji,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1935&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000383_200.jpg,1000,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001935.pdf,,,MN-000383,,,Good,,Panjabi,,Gurmukhi,Kurukshetra University,
2004,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2004&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001042_200.jpg,1526,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002004.pdf,,,MN-001042,,,Good,,Braj,,Gurmukhi,Punjab Languages Department,
2070,Phulwari,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2070&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000592_200.jpg,96,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002070.pdf,,,MG-002137,,,Good,,Panjabi,,Gurmukhi,Gurvinder Singh,
2106,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2106&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000359_200.jpg,1287,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002106.pdf,,,MN-000359,,,Good,,Panjabi,,Gurmukhi,DSGMC,
2107,Dasam Granth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2107&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000556_200.jpg,980,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002107.pdf,,,MN-000556,,,Good,,Panjabi,,Gurmukhi,DSGMC,
2116,Das Granthi,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2116&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000579_200.jpg,762,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002116.pdf,,,MN-000579,,,Good,,Panjabi,,Gurmukhi,"SGPC, Sri Amritsar jio",
2833,Prem Sumarg,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2833&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000445_200.jpg,47,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002833.pdf,"PREM SUM&#256;RAG, literally means the true way to love (prem=love; su=good or true; m&#257;rag=path) is an anonymous work in old Punjabi evoking a model of Sikh way of life and of Sikh society. Written probably in the eighteenth century, it is a kind of rahitn&#257;m&#257; attempting to prescribe norms of behavior, religious as well as social, private as well as public, for members of the Khalsa Panth. It also provides a comprehensive model of Sikh polity with details concerning civil and military administration.
Although known to earlier Sikh scholars, it was published for the first time in 1953 by the Sikh History Society, Amritsar, edited with an elaborate introduction by Bhai Randhir Singh, who accidentally in 1940 came by a partly mutilated manuscript, which he revised with the help of another manuscript preserved in the Punjab Public Library, Lahore. A second edition was brought out by New Book Company, Jalandhar, in 1965. The work is divided into ten dhi&#257;os (chapters) and each dhi&#257;o is subdivided into several bachans (utterances or topics). Chapter I opens with what may be called a prologue.",,MN-000445,,,Good,,Panjabi,,Gurmukhi,"SGPC, Sri Amritsar jio",
3950,Nam Mala Anekarth,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=3950&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001107_200.jpg,48,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0003950.pdf,,,MN-001107,,,Good,"Nand Lal Goya, Bhai",Hindi,,Devnagari,Punjab Languages Department,
3957,Sidhant Rehsya,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=3957&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-000840_200.jpg,126,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0003957.pdf,,,MN-000840,,,Good,Sadanand,Panjabi,,Gurmukhi,,
4028,Sant Bani (real title is not given),Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=4028&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001064_200.jpg,388,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0004028.pdf,,,MN-001064,,,Good,,Panjabi,,Gurmukhi,Punjab Languages Department,
